country,count_of_medals,model_results
Zambia,0,0
Iran,3,0
Algeria,1,0
Congo Republic,0,0
Portugal,1,1
Cambodia,0,0
Sao Tome and Principe,0,0
Trinidad and Tobago,1,0
Peru,0,0
Switzerland,3,4
Belgium,1,1
Jamaica,3,0
Libya,0,1
Philippines,0,0
Chile,0,0
Mongolia,1,0
Gabon,1,0
Malta,0,1
South Africa,2,0
Austria,3,1
India,2,5
Singapore,1,1
Nepal,0,0
Virgin Islands (U.S.),0,1
Pakistan,0,0
Sri Lanka,0,0
Hungary,3,1
Democratic Republic of the Congo,0,0
Lebanon,0,0
Kazakhstan,3,1
Mali,0,0
Tanzania,0,0
Haiti,0,0
Croatia,2,1
Chad,0,0
Guyana,0,0
France,4,4
Australia,4,4
Panama,0,0
Russia,5,4
