Rank,NOC,,Gold,Silver,Bronze,Total
1,Norway ,NOR,11,5,11,27
2,Russia ,RUS,10,10,9,29
3,Canada ,CAN,10,10,5,25
4,United States ,USA,9,9,10,28
5,Netherlands ,NED,8,7,9,24
6,Germany ,GER,8,6,5,19
7,Switzerland ,SUI,7,2,2,11
8,Belarus ,BLR,5,0,1,6
9,Austria ,AUT,4,8,5,17
10,France ,FRA,4,4,7,15
11,Poland ,POL,4,1,1,6
12,China ,CHN,3,4,2,9
13,South Korea ,KOR,3,3,2,8
14,Sweden ,SWE,2,7,6,15
15,Czech Republic ,CZE,2,4,2,8
16,Slovenia ,SLO,2,2,4,8
17,Japan ,JPN,1,4,3,8
18,Finland ,FIN,1,3,1,5
19,Great Britain ,GBR,1,1,3,5
,Latvia ,LAT,1,1,3,5
21,Ukraine ,UKR,1,0,1,2
22,Slovakia ,SVK,1,0,0,1
23,Italy ,ITA,0,2,6,8
24,Australia ,AUS,0,2,1,3
25,Croatia ,CRO,0,1,0,1
26,Kazakhstan ,KAZ,0,0,1,1
